school_number,school,club,year,meet,text,flag,source
408040,昭和,女子ソフトテニス部,令和７年度,東京都大会（予選）,女子ソフトテニス部 活動日 火曜日～日曜日 放課後練習、土日休日は半日練習、または練習試合、試合 活動実績（令和７年度） 国公立大会個人 優勝 ・多摩地区大会団体 準優勝 ・インターハイ団体５位 活動内容 目標： 関東大会出場 技術： 基,要確認,https://www.metro.ed.jp/showa-h/school_life/activities.html
408040,昭和,,令和5年度,関東大会,pan チアリーディング＆ダンス学生新人大会2023 EAST 1位 (Song/ Pom部門・Intermediate SuperLarge) 2023年 令和5年度ダンスドリル秋季競技大会 関東大会 2位 (NOVELTY部門) 陸上競,OK,https://www.metro.ed.jp/showa-h/school_life/activities.html
408070,武蔵村山,ハンドボール部,令和3年度,東京都大会（予選）,令和3年度インターハイ予選男女とも都ベスト24 サッカー部 活動日 火・水・木・金・土・日 活動場所 本校グラウンド・各試合会場 活動内容 現在部員74名、夏の都大会で勝ち抜くことを目標に日々練習に取り組んでいます,要確認,https://www.metro.ed.jp/musashimurayama-h/school_life/activities.html
408090,東大和南,ソフトテニス部,令和７年度,東京都大会（予選）,大会実績（令和７年度） 関東個人予選 ５回戦（ベスト ６４ 男子１組） ４回戦（ベスト１２８ 男女１組） インターハイ個人予選 ５回戦（ベスト ６４ 男子１組） 顧問より 東大和南高等学校ソフトテニス部では練習試合や中学生との合同練習（部,OK,https://www.metro.ed.jp/higashiyamatominami-h/school_life/activities.html
408230,福生,女子バスケットボール部,令和７年度,東京都大会（予選）,＜令和７年度＞ 【高体連】 夏季大会ブロック３位入賞、関東大会予選２回戦進出 ＜令和６年度＞ 【高体連】 夏季大会ブロック3位、8学区大会3位リーグ優勝、関東大会予選３回戦進出 女子バレーボール部 活動日 火・水・木・金・土・日（本校体育,要確認,https://www.metro.ed.jp/fussa-h/school_life/activities.html
408510,上水,女子バスケットボール部,令和4年度,東京都大会（予選）,」 令和4年度関東大会予選にて東京都第7位に入賞し、関東大会出場を果たしました,OK,https://www.metro.ed.jp/josui-h/school_life/activities.html
408510,上水,卓球部,令和６年度,関東大会,令和６年度は、男子は新人戦で団体戦ベスト１６、ダブルスベスト１６、シングルスベスト３２、国公立大会で団体戦3位、シングルス3位、女子は団体で令和5年度に関東大会に出場、令和6年度国公立大会団体戦ベスト８、新人戦Ｂトーナメントにおいて、シング,要確認,https://www.metro.ed.jp/josui-h/school_life/activities.html
408510,上水,上水高校野球部,令和６年度,東京都大会,令和６年度春季大会 本大会出場 夏の選手権大会 4回戦進出 西東京ベスト32 令和7年度 西東京大会 夏の選手権大会 3回戦進出 男子サッカー部 3年生6名で活動しています,要確認,https://www.metro.ed.jp/josui-h/school_life/activities.html
408510,上水,陸上競技部,令和7年度,東京都大会,令和7年度 南関東総体 女子1500m・女子3000m出場、東京都高校総体 女子1500m第3位入賞・女子3000m第3位入賞 令和6年度 全国高校総体 女子3000m出場、全国都道府県対抗女子駅伝競走大会 東京都代表5区出場、東日本女子,要確認,https://www.metro.ed.jp/josui-h/school_life/activities.html
408710,多摩工科,卓球部,令和7年度,東京都大会（予選）,☆令和7年度 学校対抗の部 戦績☆ 令和7年度 東京都高等学校春季卓球大会 （関東大会予選） 令和7年度 東京都総合体育大会 （インターハイ予選） 両大会共に ベスト32,OK,https://www.metro.ed.jp/tamakoka-h/school_life/activities.html
