school_number,school,year,meet,sport,event,division,rank,source
409270,小平南,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
409270,小平南,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13B-1.pdf
409270,小平南,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
409280,東村山西,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
409280,東村山西,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/15C.pdf
409280,東村山西,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
409410,東久留米総合,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
409410,東久留米総合,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b7ce6a09e040af45476be5a780be11c7.pdf
409410,東久留米総合,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/15C.pdf
409410,東久留米総合,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
409730,多摩科学技術,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf
409730,多摩科学技術,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/1320a9bee6735a923c87fd4240e7763e.pdf
409730,多摩科学技術,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
409730,多摩科学技術,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
410020,神代,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
410020,神代,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/bb46b813d7292eef7aa357dc1d245884-1.pdf
410020,神代,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13B-1.pdf
410020,神代,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
410040,調布南,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/faa0f6568724e6579e4b131c379c3da8.pdf
410040,調布南,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/3d48d95b16a2ffd6ce9242fd8a9f2a6b.pdf
410040,調布南,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13B-1.pdf
410040,調布南,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
410040,調布南,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
410050,狛江,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/faa0f6568724e6579e4b131c379c3da8.pdf
